10		10		10		10		10		10		10		10		10		10	
Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_UV		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Cond		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Cond%		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Conc		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Pressure		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Flow		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Temp		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Fractions		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Inject		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Logbook	
ml	 mAU	ml	 mS/cm	ml	 %	ml	 %B	ml	 MPa	ml	 ml/min	ml	 °C	ml	(Fractions)	ml	(Injections)	ml	(Set Marks)
   9.272	 2007.525000	   9.663	   54.909000	   9.663	   54.900000	   9.663	  100.000000	   9.663	    0.000000	   9.663	    1.000000	   9.662	   24.800000	 125.000	 "59"	         	            	   9.010	 "End Block"
   9.432	 2007.535000	   9.829	   54.905000	   9.829	   54.900000	   9.829	  100.000000	   9.829	    0.000000	   9.829	    1.000000	   9.828	   24.800000	 127.000	 "60"	         	            	   9.010	 "Block Flow_Rate"
   9.592	 2007.441000	   9.996	   54.929000	   9.996	   54.900000	   9.996	  100.000000	   9.996	    0.000000	   9.996	    1.000000	   9.995	   24.800000	 129.000	 "61"	         	            	   9.010	 "Base SameAsMain"
   9.752	 2007.536000	  10.162	   54.938000	  10.162	   54.900000	  10.162	  100.000000	  10.162	    0.000000	  10.162	    1.000000	  10.161	   24.800000	 131.000	 "62"	         	            	   9.010	 "Flow     1.00 ml/min"
   9.912	 2007.338000	  10.329	   54.941000	  10.329	   54.900000	  10.329	  100.000000	  10.329	    0.000000	  10.329	    1.000000	  10.328	   24.800000	 133.000	 "63"	         	            	   9.010	 "End Block"
  10.072	 2007.453000	  10.496	   54.951000	  10.496	   55.000000	  10.496	  100.000000	  10.496	    0.000000	  10.496	    1.000000	  10.494	   24.800000	 135.000	 "64"	         	            	   9.010	 "Block Isocratic_Elution"
  10.232	 2007.661000	  10.662	   54.949000	  10.662	   54.900000	  10.662	  100.000000	  10.662	    0.000000	  10.662	    1.000000	  10.661	   24.800000	 137.000	 "65"	         	            	   9.010	 "Base SameAsMain"
  10.391	 2007.526000	  10.829	   54.953000	  10.829	   55.000000	  10.829	  100.000000	  10.829	    0.000000	  10.829	    1.000000	  10.828	   24.800000	 139.000	 "66"	         	            	   9.010	 "Block Length_of_Elution"
  10.551	 2007.504000	  10.995	   54.939000	  10.995	   54.900000	  10.995	  100.000000	  10.995	    0.000000	  10.995	    1.000000	  10.994	   24.800000	 141.000	 "67"	         	            	   9.010	 "Base SameAsMain"
  10.711	 2007.498000	  11.162	   54.959000	  11.162	   55.000000	  11.162	  100.000000	  11.162	    0.000000	  11.162	    1.000000	  11.161	   24.800000	 143.000	 "68"	         	            	 153.770	 "End Block"
  10.871	 2007.545000	  11.329	   54.959000	  11.329	   55.000000	  11.329	  100.000000	  11.329	    0.000000	  11.329	    1.000000	  11.327	   24.800000	 145.000	 "69"	         	            	 153.770	 "End Block"
  11.031	 2007.591000	  11.495	   54.953000	  11.495	   54.900000	  11.495	  100.000000	  11.495	    0.000000	  11.495	    1.000000	  11.494	   24.800000	 147.000	 "70"	         	            	 153.770	 "Block Fractionation_Stop"
  11.191	 2007.485000	  11.662	   54.980000	  11.662	   55.000000	  11.662	  100.000000	  11.662	    0.000000	  11.662	    1.000000	  11.661	   24.800000	 149.000	 "71"	         	            	 153.770	 "Base SameAsMain"
  11.351	 2007.744000	  11.828	   54.986000	  11.828	   55.000000	  11.828	  100.000000	  11.828	    0.000000	  11.828	    1.000000	  11.827	   24.800000	 151.000	 "72"	         	            	 153.770	 "Fractionation_Stop_900 "
  11.511	 2007.807000	  11.995	   54.977000	  11.995	   55.000000	  11.995	  100.000000	  11.995	    0.000000	  11.995	    1.000000	  11.994	   24.800000	 153.000	 "73"	         	            	 153.770	 "Peak_FracStop_900 "
  11.670	 2007.868000	  12.162	   54.968000	  12.162	   55.000000	  12.162	  100.000000	  12.162	    0.000000	  12.162	    1.000000	  12.160	   24.800000	 153.790	 "Waste"	         	            	 153.770	 "End Block"
  11.830	 2007.868000	  12.328	   54.976000	  12.328	   55.000000	  12.328	  100.000000	  12.328	    0.000000	  12.328	    1.000000	  12.327	   24.800000	         	            	         	            	         	            
  11.990	 2007.740000	  12.495	   54.974000	  12.495	   55.000000	  12.495	  100.000000	  12.495	    0.000000	  12.495	    1.000000	  12.493	   24.800000	         	            	         	            	         	            
  12.150	 2007.736000	  12.661	   54.968000	  12.661	   55.000000	  12.661	  100.000000	  12.661	    0.000000	  12.661	    1.000000	  12.660	   24.800000	         	            	         	            	         	            
  12.310	 2007.572000	  12.828	   54.955000	  12.828	   55.000000	  12.828	  100.000000	  12.828	    0.000000	  12.828	    1.000000	  12.827	   24.800000	         	            	         	            	         	            
  12.470	 2007.474000	  12.995	   54.971000	  12.995	   55.000000	  12.995	  100.000000	  12.995	    0.000000	  12.995	    1.000000	  12.993	   24.800000	         	            	         	            	         	            
  12.630	 2007.481000	  13.161	   54.981000	  13.161	   55.000000	  13.161	  100.000000	  13.161	    0.000000	  13.161	    1.000000	  13.160	   24.800000	         	            	         	            	         	            
  12.790	 2007.384000	  13.328	   54.977000	  13.328	   55.000000	  13.328	  100.000000	  13.328	    0.000000	  13.328	    1.000000	  13.326	   24.800000	         	            	         	            	         	            
  12.949	 2007.515000	  13.494	   54.976000	  13.494	   55.000000	  13.494	  100.000000	  13.494	    0.000000	  13.494	    1.000000	  13.493	   24.800000	         	            	         	            	         	            
  13.109	 2007.531000	  13.661	   54.985000	  13.661	   55.000000	  13.661	  100.000000	  13.661	    0.000000	  13.661	    1.000000	  13.659	   24.800000	         	            	         	            	         	            
  13.269	 2007.530000	  13.828	   55.013000	  13.828	   55.000000	  13.828	  100.000000	  13.828	    0.000000	  13.828	    1.000000	  13.826	   24.800000	         	            	         	            	         	            
  13.429	 2007.488000	  13.994	   55.018000	  13.994	   55.000000	  13.994	  100.000000	  13.994	    0.000000	  13.994	    1.000000	  13.993	   24.800000	         	            	         	            	         	            
  13.589	 2007.642000	  14.161	   55.017000	  14.161	   55.000000	  14.161	  100.000000	  14.161	    0.000000	  14.161	    1.000000	  14.159	   24.800000	         	            	         	            	         	            
  13.749	 2007.625000	  14.327	   55.005000	  14.327	   55.000000	  14.327	  100.000000	  14.327	    0.000000	  14.327	    1.000000	  14.326	   24.800000	         	            	         	            	         	            
  13.909	 2007.765000	  14.494	   55.003000	  14.494	   55.000000	  14.494	  100.000000	  14.494	    0.000000	  14.494	    1.000000	  14.492	   24.800000	         	            	         	            	         	            
